nombre_municipio,votos
ACONCHI,2001
ARIVECHI,568
BACADEHUACHI,1071
BACANORA,889
BACERAC,937
BACUM,9221
BANAMICHI,1366
BAVIACORA,2660
BAVISPE,1085
BENJAMIN HILL,1499
CARBO,1814
CUMPAS,2968
DIVISADEROS,1093
EMPALME,16589
GRANADOS,931
GUAYMAS,52348
HUACHINERA,968
HUASABAS,761
HUEPAC,1072
LA COLORADA,1833
MAZATAN,1310
MOCTEZUMA,3322
NACORI CHICO,1140
NACOZARI DE GARCIA,5692
ONAVAS,731
OPODEPE,1355
RAYON,1471
SAHUARIPA,1922
SAN FELIPE DE JESUS,480
SAN IGNACIO RIO MUERTO,6659
SAN JAVIER,540
SAN MIGUEL DE HORCASITAS,3215
SAN PEDRO DE LA CUEVA,1587
SANTA ANA,6665
SOYOPA,1567
SUAQUI GRANDE,1624
TEPACHE,1044
URES,5227
VILLA HIDALGO,1298
VILLA PESQUEIRA,1726
YECORA,2754
